2	-2837	-4083	1082	-10
3	-2430	-4087	1078	-8
4	-2038	-4065	1080	1
5	-1654	-4067	1070	0
6	-1279	-4083	1066	0
7	-881	-4090	1069	0
8	-504	-4066	1079	0
9	-112	-4067	1057	0
11	-3211	-3727	1070	-10
12	-2830	-3707	1080	-9
13	-2461	-3711	1071	-9
14	-2066	-3720	1069	0
15	-1671	-3697	1065	0
16	-1285	-3706	1063	0
17	-885	-3698	1071	5
18	-513	-3685	1070	0
19	-123	-3690	1065	0
20	278	-3670	1032	0
21	-3240	-3330	1080	0
22	-2836	-3335	1062	0
23	-2455	-3323	1069	0
24	-2067	-3312	1071	0
25	-1678	-3311	1065	-4
26	-1290	-3312	1065	0
27	-897	-3311	1061	0
28	-518	-3295	1061	-4
29	-123	-3298	1047	0
30	279	-3289	1009	0
31	-3239	-2935	1075	0
32	-2848	-2937	1067	-4
33	-2472	-2937	1066	0
34	-2072	-2932	1072	0
35	-1671	-2896	1079	0
36	-1294	-2926	1073	0
37	-884	-2899	1071	0
38	-521	-2872	1055	-4
39	-118	-2889	1039	0
40	281	-2899	999	0
41	-3230	-2550	1080	0
42	-2824	-2565	1059	0
43	-2459	-2534	1068	0
44	-2067	-2549	1061	2
45	-1662	-2529	1070	0
46	-1287	-2522	1062	-9
47	-900	-2519	1064	0
48	-514	-2505	1035	0
49	-161	-2505	1045	0
50	280	-2490	1000	0
51	-3250	-2160	1080	0
52	-2835	-2167	1068	0
53	-2469	-2165	1070	0
54	-2062	-2156	1070	0
55	-1683	-2174	1053	0
56	-1288	-2141	1066	-10
57	-916	-2160	1047	4
58	-518	-2124	1038	0
59	-143	-2106	1039	-4
60	249	-2089	1000	0
61	-3259	-1782	1080	5
62	-2855	-1807	1073	0
63	-2475	-1794	1069	2
64	-2083	-1789	1061	4
65	-1692	-1782	1065	0
66	-1324	-1807	1048	0
67	-920	-1767	1063	0
68	-518	-1748	1033	5
69	-157	-1746	1030	0
70	230	-1717	988	0
71	-3301	-1302	1095	10
72	-2883	-1312	1093	3
73	-2464	-1315	1089	9
74	-2076	-1321	1083	0
75	-1695	-1308	1092	0
76	-1335	-1324	1077	-10
77	-900	-1289	1063	0
78	-531	-1286	1057	0
79	-138	-1279	1033	-4
80	246	-1261	943	-5
81	-3267	-939	1086	2
82	-2864	-946	1089	9
83	-2476	-957	1083	10
84	-2105	-980	1074	8
85	-1690	-960	1096	4
86	-1318	-963	1096	0
87	-919	-941	1084	0
88	-534	-954	1056	0
89	-135	-935	1050	0
90	240	-909	894	0
92	-2860	-546	1088	10
93	-2484	-554	1085	10
94	-2109	-565	1090	4
95	-1686	-554	1088	4
96	-1308	-567	1089	0
97	-925	-543	1058	0
98	-520	-560	1059	0
99	-133	-544	1033	0
