2	-2840	-4099	1070	20
3	-2430	-4139	1080	30
4	-2031	-4165	1070	34
5	-1644	-4154	1068	27
6	-1270	-4195	1056	18
7	-870	-4213	1049	12
8	-462	-4208	1048	10
9	-70	-4260	1040	10
11	-3229	-3670	1070	30
12	-2816	-3691	1087	30
13	-2434	-3724	1078	25
14	-2065	-3782	1068	36
15	-1650	-3783	1064	24
16	-1265	-3809	1055	15
17	-859	-3813	1055	20
18	-470	-3799	1042	16
19	-55	-3844	1033	14
20	330	-3849	1020	19
21	-3260	-3220	1080	40
22	-2870	-3270	1070	40
23	-2411	-3293	1073	27
24	-2044	-3342	1076	30
25	-1654	-3400	1066	20
26	-1286	-3391	1069	30
27	-868	-3412	1064	20
28	-491	-3409	1050	16
29	-72	-3433	1026	19
30	289	-3440	1009	10
31	-3229	-2830	1090	30
32	-2835	-2854	1082	30
33	-2439	-2879	1078	39
34	-2058	-2902	1078	34
35	-1649	-2979	1078	30
36	-1285	-2995	1076	24
37	-857	-3002	1074	27
38	-507	-2986	1046	15
39	-104	-2992	1025	10
40	269	-3009	999	10
41	-3230	-2390	1090	40
42	-2799	-2452	1068	35
43	-2417	-2461	1076	34
44	-2013	-2490	1066	31
45	-1690	-2473	1075	38
46	-1278	-2593	1061	18
47	-877	-2588	1071	18
48	-514	-2576	1036	16
49	-149	-2609	1049	10
50	270	-2561	1009	9
52	-2800	-2006	1084	40
53	-2448	-2068	1068	40
54	-2038	-2087	1070	32
55	-1649	-2198	1063	30
56	-1293	-2179	1065	15
57	-903	-2202	1055	22
58	-526	-2163	1046	14
59	-153	-2169	1040	9
60	210	-2130	999	9
61	-3296	-1625	1085	39
62	-2949	-1660	1089	39
63	-2500	-1685	1078	30
64	-2084	-1735	1058	29
65	-1686	-1753	1068	23
66	-1341	-1806	1056	26
67	-925	-1760	1064	18
68	-544	-1754	1035	24
69	-166	-1790	1029	14
70	209	-1759	980	10
71	-3369	-1150	1099	40
72	-2919	-1182	1093	35
73	-2495	-1193	1099	34
74	-2077	-1258	1079	30
75	-1678	-1275	1078	22
76	-1379	-1293	1061	10
77	-919	-1264	1068	13
78	-562	-1287	1068	10
79	-170	-1290	1028	12
80	199	-1299	949	9
81	-3274	-794	1078	40
82	-2902	-794	1091	40
83	-2499	-818	1084	40
84	-2111	-876	1072	33
85	-1694	-892	1080	29
86	-1342	-916	1084	16
87	-937	-906	1075	18
88	-548	-921	1053	12
89	-141	-898	1038	6
90	210	-919	919	10
92	-2860	-375	1090	39
93	-2464	-424	1075	36
94	-2075	-471	1083	27
95	-1680	-488	1075	20
96	-1318	-520	1067	16
97	-923	-494	1057	12
98	-527	-525	1054	10
99	-127	-465	896	8
